Score	Bval	Edges
-2181.6444	6.54791910205e-006	0->3
-2181.6655	6.49736556953e-006	0->3
-2181.6670	6.44688781046e-006	0->3
-2181.6846	6.39729068763e-006	0->3
-2181.6856	6.34774313712e-006	0->3
-2181.6872	6.29827479931e-006	0->3
-2181.7077	6.24981023855e-006	0->3
-2181.7096	6.20143767304e-006	0->3
-2181.7124	6.15320036126e-006	0->3
-2181.7270	6.10566219804e-006	0->3
-2181.7271	6.05812878839e-006	0->3
-2181.7315	6.0108040663e-006	0->3
-2181.7324	5.9635219173e-006	0->3
-2181.7334	5.91628702681e-006	0->3
-2181.7361	5.86917949851e-006	0->3
-2181.7520	5.82281505671e-006	0->3
-2181.7552	5.776598744e-006	0->3
-2181.7585	5.73053469375e-006	0->3
-2181.7704	5.68501555703e-006	0->3
-2181.7714	5.6395419167e-006	0->3
-2181.7815	5.59452524853e-006	0->3
-2181.7916	5.54996096036e-006	0->3
-2181.7925	5.505436762e-006	0->3
-2181.7967	5.46109917311e-006	0->3
-2181.8041	5.41708847141e-006	0->3
-2181.8090	5.37329289467e-006	0->3
-2181.8097	5.3295279641e-006	0->3
-2181.8352	5.28686493036e-006	0->3
-2181.8501	5.24483286345e-006	0->3
-2181.8545	5.20298533137e-006	0->3
-2181.8569	5.16123811293e-006	0->3
-2181.8675	5.11993107792e-006	0->3
-2181.8760	5.0789736647e-006	0->3
-2181.8788	5.03813077184e-006	0->3
-2181.9010	4.99818460077e-006	0->3
-2181.9207	4.95901766855e-006	0->3
-2181.9224	4.91991726356e-006	0->3
-2181.9265	4.88097684204e-006	0->3
-2181.9371	4.84244700902e-006	0->3
-2181.9612	4.80483464508e-006	0->3
-2181.9813	4.76797074241e-006	0->3
-2181.9839	4.73120256139e-006	0->3
-2181.9973	4.69492378765e-006	0->3
-2181.9976	4.65865589591e-006	0->3
-2181.9995	4.62245684775e-006	0->3
-2182.0036	4.58640591184e-006	0->3
-2182.0058	4.55043420081e-006	0->3
-2182.0081	4.51454512965e-006	0->3
-2182.0083	4.47866323558e-006	0->3
-2182.0101	4.44284587082e-006	0->3
-2182.0361	4.40794775553e-006	0->3
-2182.0416	4.373241053e-006	0->3
-2182.0521	4.33889686432e-006	0->3
-2182.0682	4.30510118969e-006	0->3
-2182.0707	4.27138989872e-006	0->3
-2182.0863	4.23820042315e-006	0->3
-2182.0922	4.20520618896e-006	0->3
-2182.1061	4.17266740193e-006	0->3
-2182.1100	4.14025526903e-006	0->3
-2182.1122	4.10791436445e-006	0->3
-2182.1243	4.07596242682e-006	0->3
-2182.1304	4.04420480275e-006	0->3
-2182.1312	4.01247257461e-006	0->3
-2182.1526	3.98141220167e-006	0->3
-2182.1537	3.95038597636e-006	0->3
-2182.1647	3.9196991693e-006	0->3
-2182.1793	3.88945713488e-006	0->3
-2182.1842	3.85936292397e-006	0->3
-2182.1983	3.82969006392e-006	0->3
-2182.2114	3.80040338335e-006	0->3
-2182.2204	3.77137910034e-006	0->3
-2182.2221	3.74240411669e-006	0->3
-2182.2277	3.71359093948e-006	0->3
-2182.2454	3.68528326857e-006	0->3
-2182.2511	3.6571364924e-006	0->3
-2182.2601	3.62924190068e-006	0->3
-2182.2670	3.60153911914e-006	0->3
-2182.2761	3.57408728935e-006	0->3
-2182.2836	3.54684057812e-006	0->3
-2182.3127	3.5203753209e-006	0->3
-2182.3131	3.49392064766e-006	0->3
-2182.3167	3.46756104002e-006	0->3
-2182.3223	3.44134863364e-006	0->3
-2182.3227	3.41514671012e-006	0->3
-2182.3258	3.38902588679e-006	0->3
-2182.3285	3.36297549457e-006	0->3
-2182.3287	3.3369303119e-006	0->3
-2182.3437	3.31127289148e-006	0->3
-2182.3470	3.285700001e-006	0->3
-2182.3473	3.26013478124e-006	0->3
-2182.3489	3.23461043312e-006	0->3
-2182.3579	3.20931477349e-006	0->3
-2182.3682	3.18427832194e-006	0->3
-2182.3827	3.15960227966e-006	0->3
-2182.3912	3.13513509484e-006	0->3
-2182.3964	3.11079480916e-006	0->3
-2182.4060	3.08668707219e-006	0->3
-2182.4129	3.06274510605e-006	0->3
-2182.4149	3.03885097598e-006	0->3
-2182.4303	3.01532199664e-006	0->3
-2182.4358	2.99192207147e-006	0->3
-2182.4380	2.96857356954e-006	0->3
-2182.4387	2.94524140585e-006	0->3
-2182.4414	2.92197215402e-006	0->3
-2182.4559	2.89903787195e-006	0->3
-2182.4740	2.8765149662e-006	0->3
-2182.4874	2.85429185428e-006	0->3
-2182.5220	2.83282451183e-006	0->3
-2182.5277	2.81147918515e-006	0->3
-2182.5352	2.79029334958e-006	0->3
-2182.5367	2.76913926894e-006	0->3
-2182.5436	2.74813064905e-006	0->3
